"","country","gdppc99","lngdp99","ISO_qual","ISO_envt","wtr_pltn","lnpoison","lnintest","UnofEcon","lab_inf","roa","markcom","cor_aart","cor_icrg","xconst45_98","P_execon","gov_eff","EffectLg","Competit","autoc45_98","pright_av","legor_fr","legor_so","legor_ge","legor_sc","legor_en","civil_fh","prop97","prop_hf9","response","sanita_who","expense_heal","cost_priv","steps","procedures","time_99","cost_99","cost_pct"
"34","Japan",32230,10.3806495666504,0.0683571025729179,0.0122381001710892,0.143800005316734,1.69087994098663,2.02040410041809,11.664999961853,NA,0.219779193401337,5.40000009536743,0.455904990434647,0.260000109672546,7,7,0.83898788690567,3,2,0,0.938080489635468,0,0,1,0,0,0.833333313465118,1,5,6.99667692184448,85,NA,1165.82995605469,11,11,26,3742.06005859375,0.119999997317791
"35","Jordan",1500,7.3132209777832,0.0380901992321014,0.000450799998361617,0.180999994277954,NA,NA,NA,NA,NA,5,0.645519196987152,0.400000005960464,2.20755004882812,1.79999995231628,0.629615902900696,0.953487992286682,0.720929980278015,7.84906005859375,0.287925690412521,1,0,0,0,0,0.5,0.75,4,5.24641180038452,70,6.69999980926514,14.1000003814697,12,14,64,805.359985351562,0.540000021457672
"36","Kazakhstan",1230,7.11476898193359,0,0,0.261999994516373,5.34920120239258,4.54345512390137,42.2999992370605,40,0.134399995207787,NA,0.972403883934021,NA,2.66667008399963,3.05714297294617,-0.823777973651886,NA,NA,6.79629993438721,0.102167196571827,0,1,0,0,0,0.333333313465118,NA,2,5.1937141418457,NA,NA,58,12,12,42,583.820007324219,0.469999998807907
"37","Kenya",360,5.88610410690308,0.0145396003499627,0,0.236100003123283,NA,5.34499979019165,NA,40.7999992370605,NA,NA,0.901920914649963,0.600000023841858,3.25,3.16666698455811,-0.899427175521851,1,1.84615004062653,5.75,0.21362230181694,0,0,0,0,1,0.333333313465118,0.5,3,4.67059183120728,67.25,5.09999990463257,39.8899993896484,9,11,54,182.509994506836,0.509999990463257
"38","Korea, Rep.",8490,9.04664421081543,0.168054595589638,0.00571849988773465,0.122100003063679,3.37636494636536,4.1515908241272,29.1499996185303,NA,0.147404506802559,4.59999990463257,0.638984620571136,0.400000005960464,3.14000010490417,3.1714289188385,0.408682495355606,1.11110997200012,1.11110997200012,3.96000003814697,0.560371518135071,0,0,1,0,0,0.833333313465118,1,5,6.11999988555908,100,5.75,269.510009765625,11,13,27,1381.14001464844,0.159999996423721
"39","Kyrgyz Republic",300,5.70378303527832,0,0,0.160300001502037,5.11246490478516,3.99443507194519,35.7999992370605,40,0.0842000022530556,NA,0.938269078731537,NA,2.92593002319336,3.28571391105652,-0.575168907642365,NA,NA,6.33333015441895,0.176470592617989,0,1,0,0,0,0.333333313465118,NA,4,4.91150379180908,52.7999992370605,3.40000009536743,60.1399993896484,9,9,32,75.9700012207031,0.25
"40","Latvia",2470,7.8119740486145,0.00567949982360005,0,0.172600001096725,3.80666303634644,3.25356101989746,27.6499996185303,NA,0.104000002145767,NA,0.776122272014618,NA,3.33332991600037,3.51428604125977,0.0676380023360252,NA,NA,6.12963008880615,0.826625406742096,0,1,0,0,0,0.833333313465118,0.75,3,5.36913108825684,NA,2.40000009536743,198.309997558594,7,7,23,1045.76000976562,0.419999986886978
"41","Lebanon",3700,8.21608829498291,0.00892530009150505,0.000241200003074482,NA,NA,NA,NA,NA,NA,NA,0.819425582885742,1,3.16667008399963,3.23809504508972,0.174306005239487,1.67441999912262,1.69766998291016,1.66666996479034,0.337461292743683,1,0,0,0,0,0.333333313465118,0.5,3,5.60986614227295,NA,2.79999995231628,4625.41015625,9,9,63,5798.58984375,1.57000005245209
"42","Lithuania",2620,7.87093019485474,0.0107944998890162,0.000269899988779798,0.153600007295609,5.61285400390625,4.14159679412842,27.7700004577637,NA,NA,NA,0.679551184177399,NA,3.33332991600037,3.51428604125977,0.126847594976425,NA,NA,6.12963008880615,0.356037110090256,0,1,0,0,0,0.833333313465118,0.5,3,5.3116660118103,NA,NA,13,9,10,46,143.080001831055,0.0500000007450581
"43","Madagascar",250,5.52146100997925,0,0,NA,NA,NA,61.4000015258789,57.5,NA,NA,0.842863976955414,0.400000005960464,3.68421006202698,3.39393901824951,-0.294575899839401,0.857142984867096,1.71429002285004,3.78946995735168,0.430340588092804,1,0,0,0,0,0.5,0.5,3,4.29053401947021,3,0.899999976158142,26.1800003051758,17,17,152,106.569999694824,0.430000007152557
